Age,AnnualIncome,AverageTransactionValue,DiscountSensitivity,ShoppingFrequency
36,71412,1697,Medium,Occasional
49,79363,1062,Medium,Frequent
44,53373,1848,Low,Frequent
40,47755,2723,Medium,Rare
37,38296,966,Medium,Rare
36,43491,966,Medium,Occasional
48,118981,2779,Low,Rare
40,84893,1967,Low,Occasional
40,32978,731,Low,Rare
33,33550,1743,Medium,Frequent
37,69637,737,Medium,Frequent
32,70945,734,Medium,Frequent
31,70977,1442,Low,Frequent
41,54900,50,Medium,Frequent
35,57490,50,Medium,Occasional
31,66557,638,Medium,Occasional
30,61717,187,Low,Occasional
41,15613,1514,Medium,Frequent
41,55404,292,Low,Occasional
46,42971,50,Medium,Occasional
39,63504,2666,Medium,Frequent
45,119705,974,Low,Occasional
44,67349,1268,Medium,Frequent
44,53729,50,Low,Frequent
48,78436,656,Medium,Rare
41,69653,1311,Medium,Frequent
49,68401,50,Medium,Frequent
32,72137,1576,Medium,Occasional
34,101130,599,Medium,Occasional
48,37382,908,Medium,Frequent
36,69472,598,Medium,Frequent
38,41472,3052,Medium,Frequent
36,71110,1187,Medium,Occasional
47,41626,142,Medium,Frequent
33,51652,2023,Medium,Frequent
43,54098,50,Medium,Rare
47,79516,1409,Medium,Occasional
38,78369,50,Medium,Frequent
31,35085,50,Low,Occasional
49,61098,1397,Medium,Occasional
44,45808,1938,Medium,Frequent
36,34829,1371,Medium,Frequent
41,55659,1084,Low,Occasional
37,53830,899,Low,Frequent
44,108534,50,Medium,Occasional
32,68659,480,Medium,Frequent
43,32447,739,Medium,Frequent
46,48704,2257,Low,Frequent
33,80427,1544,Medium,Frequent
47,101768,50,Low,Frequent
37,28280,1524,Medium,Frequent
33,22401,815,Low,Occasional
31,97419,523,Low,Rare
35,67792,1812,Medium,Occasional
39,42634,2231,Medium,Occasional
33,70692,2131,Medium,Frequent
47,7285,361,Medium,Rare
41,60067,891,Medium,Frequent
31,66556,1531,Low,Rare
39,78485,2176,Medium,Rare
33,39722,721,Medium,Occasional
43,61713,1014,Medium,Rare
45,41491,94,Medium,Occasional
44,65107,50,Medium,Frequent
37,42093,2013,Medium,Frequent
43,51837,2556,Medium,Occasional
37,40083,1128,Medium,Frequent
45,73022,2204,Low,Occasional
42,77169,1562,Medium,Rare
47,55307,555,Medium,Frequent
44,60764,1561,Low,Occasional
42,31028,2738,Medium,Rare
38,54006,1164,Medium,Rare
44,58995,2765,Medium,Rare
42,112415,50,Medium,Occasional
30,37760,2022,Low,Rare
36,89283,1287,Medium,Occasional
38,79937,901,Medium,Frequent
30,65612,1292,Medium,Frequent
